"program_from","program_to","subsample","N","coefficient","pre_estimate","pre_dr_estimate","to_estimate","se","pre_dr_se","to_se","p_value","pre_dr_p_value","to_p_value"
"ehs-full","abc","FALSE",1267,0.257715393103671,0.127574305997858,0.133673234904955,0.223537064622983,0.20139032096347,0.145705461896381,0.172561774198782,0.200891948575214,0.358922128861507,0.195181194451942
"ehs-full","abc","FALSE",1267,0.257715393103671,0.12418584411382,0.114191577304767,0.210056675424209,0.20139032096347,0.15290512842889,0.16616029964477,0.200891948575214,0.455176290842377,0.206165108406914
"ehs-full","abc","TRUE",348,0.579197641672945,0.213897191353079,0.136914569203452,0.219670518083318,0.385068534049105,0.366398485819797,0.323441913769777,0.133457114722608,0.708644878253009,0.497033143436229
"ehsmixed_center","abc","FALSE",768,0.265770377083119,0.259340768484242,0.260922744532536,0.540228164542894,0.157274963454899,0.13797809077243,0.184989459579075,0.0914644230952611,0.0586183704720993,0.00349673671764621
"ehsmixed_center","abc","FALSE",768,0.265770377083119,0.232047731139197,0.227503853016026,0.30313658831462,0.157274963454899,0.140516471807813,0.157160607772681,0.0914644230952611,0.105435496038005,0.0537515804607897
"ehsmixed_center","abc","TRUE",245,0.662030711156533,0.632419596279713,0.616928107334444,0.633491870743717,0.301902438306918,0.2863312538039,0.240268900200401,0.0292656745731103,0.031193480598849,0.00837426553658072
"ehscenter","abc","FALSE",375,0.320116896334751,0.543237366843099,0.546591923302443,1.03785860882303,0.171409871969366,0.170100839445338,0.303537762795833,0.0626085619841759,0.00131200628612493,0.000628038035751647
"ehscenter","abc","FALSE",375,0.320116896334751,0.494141916980984,0.460139639791468,0.514767599765145,0.171409871969366,0.176603362431284,0.197207603812559,0.0626085619841759,0.00917409120099585,0.00904674225826267
"ehscenter","abc","TRUE",110,1.434494564823,1.43978570623821,1.23313319736055,1.43896971705847,0.496877106929684,0.452124247388156,0.518654044628188,0.00469829740207317,0.00638315272831598,0.00552984098936998
"abc","abc","FALSE",103,1.1008203404528,1.18838636884678,1.19461266069859,1.18826746806382,0.202109551167638,0.211413410131476,0.171077523644725,3.62515245713322e-07,1.59888559001814e-08,3.76365164110406e-12
"abc","abc","FALSE",103,1.1008203404528,1.21315920652833,1.21680389581405,1.21304778659481,0.202109551167638,0.215539144217097,0.204960363118299,3.62515245713322e-07,1.64801144896217e-08,3.24988560805881e-09
"abc","abc","TRUE",98,1.06183275118708,1.15839161855483,1.15081608835951,1.15840163768898,0.204517181306776,0.225537847033701,0.189229996734351,1.16333752527623e-06,3.35123294991031e-07,9.2605660722412e-10
